Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
22,33930,6,11377,1,3,0,136,0,0,0,0,84,0,45.3333333333333,42.3949682548924,11953.9421640151,351.586534235739,3792.33333333333,5763.59968538181,10435,117,0,0,0,0,0,11377,5688.5,6712.5646738039,10435,942,0,1,0,0,32,96,87.8966335589347,263.689900676804,0,84,44,42.2374241638858,1784,0,0,0,1,1,0,0,0,3,55,0,45.3333333333333,0,0,0,0,0,0,1,0,3,136,-1,501,0,0,0,0,0,0,0,0,0,0,Brute_Force
22,33930,6,2983,1,1,0,0,0,0,0,0,0,0,0,0,0,670.465973851827,2983,0,2983,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,335.232986925913,335.232986925913,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2048,0,0,0,0,0,0,0,0,0,0,Brute_Force
22,33932,6,22572,0,3,0,136,0,0,0,0,84,0,45.3333333333333,42.3949682548924,6025.16391990076,132.90802764487,11286,15948.0863428814,22563,9,0,0,0,0,0,22572,11286,15948.0863428814,22563,9,0,1,0,0,0,96,0,132.90802764487,0,84,55,39.648455203198,1572,0,0,0,1,1,0,0,0,0,73.3333333333333,0,45.3333333333333,0,0,0,0,0,0,0,0,3,136,-1,501,0,0,0,0,0,0,0,0,0,0,Brute_Force
22,33932,6,4243,2,1,0,0,0,0,0,0,0,0,0,0,0,707.046900777752,2121.5,2891.35962827179,4166,77,4166,4166,0,4166,4166,0,0,0,0,0,0,0,0,0,64,32,471.364600518501,235.682300259251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2047,0,0,0,0,0,0,0,0,0,0,Brute_Force
22,33950,6,2189348,2,4,84,220,84,0,42,59.39696961967,84,0,55,39.648455203198,138.854124606961,2.74054193303212,437869.6,966890.980704805,2167467,8,2167467,2167467,0,2167467,2167467,2189348,729782.666666667,1256746.98468798,2180941,8,0,1,0,0,64,128,0.913513977677373,1.82702795535475,0,84,55.4285714285714,39.626830737339,1570.28571428571,0,0,0,1,1,0,0,0,2,64.6666666666667,42,55,0,0,0,0,0,0,2,84,4,220,-1,501,1,0,0,0,0,0,0,0,0,0,Brute_Force
22,33950,6,3983,2,1,0,0,0,0,0,0,0,0,0,0,0,753.201104694953,1991.5,2814.99209590365,3982,1,3982,3982,0,3982,3982,0,0,0,0,0,0,0,0,0,64,32,502.134069796636,251.067034898318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2047,0,0,0,0,0,0,0,0,0,0,Brute_Force
22,33948,6,2211792,4,5,168,304,84,0,42,48.4974226119286,84,0,60.8,36.7042231902543,213.401621852326,4.06909872176046,276474,764518.843434222,2168510,7,2186276,728758.666666667,1246861.58563825,2168510,7941,2211792,552948,1082402.52934602,2176479,7,0,1,0,0,128,160,1.80848832078242,2.26061040097803,0,84,55.6,39.618177646126,1569.6,0,0,0,1,1,0,0,0,1,61.7777777777778,42,60.8,0,0,0,0,0,0,4,168,5,304,-1,501,2,0,0,0,0,0,0,0,0,0,Brute_Force
22,33948,6,4593,2,1,0,0,0,0,0,0,0,0,0,0,0,653.167864141084,2296.5,3246.32723242744,4592,1,4592,4592,0,4592,4592,0,0,0,0,0,0,0,0,0,64,32,435.445242760723,217.722621380361,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2047,0,0,0,0,0,0,0,0,0,0,Brute_Force
33954,22,6,4940507,14,21,1402,2033,976,0,100.142857142857,254.0992710742,1080,0,96.8095238095238,246.942426295608,695.272772612204,7.08429317072114,145309.029411765,516339.812566767,2168551,41,4929065,379158.846153846,906562.478981716,2608683,330,4940251,247012.55,660768.334180785,2168551,148,0,0,0,0,448,692,2.83371726828846,4.25057590243269,0,1080,95.4166666666667,243.10096374023,59098.0785714286,0,1,0,0,0,0,0,0,1,98.1428571428571,100.142857142857,96.8095238095238,0,0,0,0,0,0,14,1402,21,2033,-1,2047,9,0,0,0,0,0,0,0,0,0,Brute_Force
22,33954,6,2428,1,1,0,0,0,0,0,0,0,0,0,0,0,823.723228995058,2428,0,2428,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,411.861614497529,411.861614497529,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2048,0,0,0,0,0,0,0,0,0,0,Brute_Force
