Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
50322,80,6,65310,3,6,924,272,507,0,308,270.505083131537,145,0,45.3333333333333,70.4603907643625,18312.662685653,137.804317868627,8163.75,17300.5487505867,50389,7,1294,647,147.078210486802,751,543,65310,13062,21181.440614368,50389,7,0,0,0,0,96,212,45.9347726228755,91.869545245751,0,507,119.6,190.043971520044,36116.7111111111,0,1,0,0,0,0,0,0,2,132.888888888889,308,45.3333333333333,0,0,0,0,0,0,3,924,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50322,80,6,766,2,1,0,0,0,0,0,0,0,0,0,0,0,3916.44908616188,383,540.229580826522,765,1,765,765,0,765,765,0,0,0,0,0,0,0,0,0,64,32,2610.96605744125,1305.48302872063,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2056,0,0,0,0,0,0,0,0,0,0,Phishing
50330,80,6,88724,36,45,356,59195,356,0,9.88888888888889,59.3333333333333,1448,0,1315.44444444444,408.91105698581,671193.814525946,912.943510211442,1109.05,2120.14395200307,15702,0,83568,2387.65714285714,3307.43093781312,15815,0,88724,2016.45454545455,2873.24033473388,16493,208,0,0,0,0,1152,1460,405.752671205086,507.190839006357,0,1448,726.231707317073,720.971640317931,519800.106142728,0,1,0,0,0,0,0,0,1,735.197530864198,9.88888888888889,1315.44444444444,0,0,0,0,0,0,36,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
50330,80,6,1625,1,1,0,0,0,0,0,0,0,0,0,0,0,1230.76923076923,1625,0,1625,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,615.384615384615,615.384615384615,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2007,0,0,0,0,0,0,0,0,0,0,Phishing
50334,80,6,26103,3,6,926,272,507,0,308.666666666667,270.910194221874,145,0,45.3333333333333,70.4603907643625,45895.1078420105,344.787955407424,3262.875,4120.07276071327,10649,6,1767,883.5,392.444263558534,1161,606,26103,5220.6,4779.26943161818,10649,6,0,0,0,0,96,212,114.929318469141,229.858636938283,0,507,119.8,190.392460168172,36249.2888888889,0,1,0,0,0,0,0,0,2,133.111111111111,308.666666666667,45.3333333333333,0,0,0,0,0,0,3,926,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50334,80,6,811,2,1,0,0,0,0,0,0,0,0,0,0,0,3699.13686806412,405.5,522.551911296859,775,36,775,775,0,775,775,0,0,0,0,0,0,0,0,0,64,32,2466.09124537608,1233.04562268804,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2056,0,0,0,0,0,0,0,0,0,0,Phishing
50336,80,6,89437,36,45,356,59195,356,0,9.88888888888889,59.3333333333333,1448,0,1315.44444444444,408.91105698581,665842.995628208,905.665440477655,1117.9625,1757.78036418164,10332,1,81695,2334.14285714286,2228.73171719408,10405,1,89437,2032.65909090909,2148.33485483993,10403,44,0,0,0,0,1152,1460,402.517973545624,503.14746693203,0,1448,726.231707317073,720.971640317931,519800.106142728,0,1,0,0,0,0,0,0,1,735.197530864198,9.88888888888889,1315.44444444444,0,0,0,0,0,0,36,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
50336,80,6,464,1,1,0,0,0,0,0,0,0,0,0,0,0,4310.34482758621,464,0,464,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2155.1724137931,2155.1724137931,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2029,0,0,0,0,0,0,0,0,0,0,Phishing
50337,80,6,31479,4,6,930,272,507,0,232.5,270.649219470517,145,0,45.3333333333333,70.4603907643625,38184.1862829188,317.672098859557,3497.66666666667,4699.08267643803,13174,117,16886,5628.66666666667,8545.18416029364,15495,587,31479,6295.8,5434.63137664368,13174,1238,0,0,0,0,128,212,127.068839543823,190.603259315734,0,507,109.272727272727,184.874601235048,34178.6181818182,0,1,0,0,0,0,0,0,1,120.2,232.5,45.3333333333333,0,0,0,0,0,0,4,930,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50337,80,6,678,1,1,0,0,0,0,0,0,0,0,0,0,0,2949.85250737463,678,0,678,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1474.92625368732,1474.92625368732,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2054,0,0,0,0,0,0,0,0,0,0,Phishing
